proposed_regionturf,location,latitude,longitude
R01,Inner NOVA,38.85381487,-77.09455682
R02,Fairfax,38.88459914,-77.29898868
R03,Loudoun,38.94231621,-77.53486505
R04,Prince Williams,38.67874359,-77.28430405
R05,Fredericksburg,38.21877307,-77.55736559
R06/7,Richmond,37.53000666,-77.49287061
R08,Newport News,37.08870864,-76.45697751
R10,Virginia Beach,36.82354058,-76.09977164
R10,Norfolk,36.88923232,-76.25695679
R11,Williamsburg,37.29610488,-76.74853676
R12,Harrisonburg,38.09345565,-79.16308085
R13,Blacksburg,37.01433609,-79.97897189
R14,Charlottesville,37.84382675,-78.42929304