proposed_regionturf,Location,latitude,longitude
R01A,East Alexandria,38.809613153,-77.056368695
R01B,Arlington,38.875043800,-77.098189900
R01f,Crystal City,38.844909092,-77.062406127
R01I,West End Alexandria,38.812810112,-77.124249566
R02E,Falls Church,38.873425440,-77.174965329
R02A,Annandale,38.830807941,-77.211169459
R02H,Reston,38.954164068,-77.349124871
R02I,Vienna,38.906023413,-77.260969809
R02B,Centerville,38.840229380,-77.443610582
R03B,HD-21 (Thomas),38.809501923,-77.591486292
R03E,Manassas,38.748025878,-77.474324284
R03Z,Ashburn,39.022897499,-77.496285994
R03F,Warrenton,38.722722357,-77.771345197
R03D,Leesburg,39.102933992,-77.539740613
R03C,HD-30 (McAuliffe),39.045690327,-77.658504445
R04I,Mount Vernon,38.711005000,-77.088276000
R04I,Woodbridge,38.647163793,-77.313642481
R04A,Springfield,38.769193978,-77.215770412
R04B,Dumfries,38.584190309,-77.314877093
R04E,Hd-64 (Carroll - Stafford),38.448648920,-77.435592861
R04B,HD-22 (Guzman),38.737930494,-77.539775777
R05B,HD-65 (Cole),38.311676654,-77.480486294
R05E,Culpeper,38.473113373,-78.011348317
R05A,Tapphanock,37.922423283,-76.865920575
R05C,HD-66,38.159874952,-77.500215005
R06E,Ashland,37.760739091,-77.476911440
R06B,HD-57,37.639209000,-77.658823700
R06D,Mechanicsville,37.641386947,-77.360630064
R06H,Tuckahoe,37.596421535,-77.568818058
R06G,Glenn Allen,37.669872979,-77.550427999
R07C,HD-75 (Chester),37.351380691,-77.399482794
R07H,Midlow,37.462851741,-77.650832882
R07F,Chesterfield,37.392050106,-77.589216866
R07A,East Henrico,37.509432086,-77.348222181
R07D,Rockets Landing,37.520658775,-77.433533564
R07B,HD73,37.438531011,-77.674874328
R08B,HD69,37.220935107,-76.597679541
R08A,Hampton,37.041710667,-76.372199325
R08D,Newport News,37.088568721,-76.491295957
R08C,HD86,37.065954285,-76.345325720
R09A,Chesapeake,36.767167024,-76.288525193
R09B,HD84,36.799758572,-76.567400985
R09E/F,Portsmouth,36.833404981,-76.352796513
R09C,HD89,36.769459860,-76.443809829
R10F,Eastern Shore,37.640384414,-75.742244786
R10D,Norfolk,36.886577448,-76.257610531
R10A,Virginia Beach,36.822055522,-76.106338495
R10C,HD97,36.821153700,-76.114771300
R10E/J,Central/East Norfolk,36.865799121,-76.195979574
R11C,HD-71,37.414419500,-76.845026400
R11A,Emporia,36.689443899,-77.553175905
R11E,Colonial Heights,37.263504096,-77.402590149
R11D,HD82,37.124730800,-77.286080600
R11B,Gloucester,37.373679029,-76.531745858
R12C,Roanoke,37.280683269,-79.963415542
R12B,Salem,37.289907300,-80.064803525
R12D,Staunton,38.152409424,-79.076092158
R12A,Harrisonburg,38.442681550,-78.869556341
R12E,Winchester,39.178320928,-78.168025206
R13D,HD41 - Blacksburg,37.233596237,-80.415080725
R13D,HD41 - Roanoke,37.213738490,-80.047649909
R13A,Martinsville,36.686425473,-79.858341861
R13C,Danville,36.600083782,-79.410103503
R13B,Washington Co.,36.698896347,-81.980419850
R13E,Lynchburg,37.392206938,-79.190879410
R14D,Farmville,37.299093807,-78.404785343
R14A,Goochland,37.694387557,-77.820227839
R14B/E,North Charlottesville,38.065115180,-78.497075964
R14C,Albemarle,38.053533728,-78.515602547